URL,Data,Dominio,Status
https://registro.br/,2023-12-15 14:56:09,actionedge.com.br,Domínio disponível para registro.
https://registro.br/,2023-12-15 15:00:51,uol.com.br,Domínio não disponível para registro.
https://registro.br/,2023-12-15 15:02:52,d2dtecnologia.com.br,Domínio não disponível para registro.
